,id,city,country,lat,lon,date,temperature,humidity,cloudiness,wind speed
1,3631878,Moron,VE,10.49,10.49,1522958400,89.6,52,40,10.29
2,532664,Lysyye Gory,RU,51.55,51.55,1522959955,19.93,79,0,2.82
4,1254727,Terdal,IN,16.49,16.49,1522959925,72.13,72,36,4.61
9,507427,Pokrovskoye,RU,47.41,47.41,1522959935,42.43,71,56,2.71
13,2025261,Chulman,RU,56.84,56.84,1522959799,7.78,69,48,8.08
17,3923015,Boyuibe,BO,-20.43,-20.43,1522958400,82.4,61,75,8.75
20,1623197,Tual,ID,-5.67,-5.67,1522959790,82.03,100,24,5.06
24,516801,Novyy Yegorlyk,RU,46.39,46.39,1522959956,43.06,90,0,7.74
26,5742974,North Bend,US,43.41,43.41,1522958160,54.36,82,90,8.05
42,1629380,Ruteng,ID,-8.61,-8.61,1522959841,67.36,88,0,2.93
47,694382,Rozsypne,UA,48.13,48.13,1522959958,42.7,73,56,2.93
61,2111704,Namie,JP,37.52,37.52,1522959863,49.72,96,76,2.15
93,477940,Ust-Tsilma,RU,65.44,65.44,1522959762,27.67,86,64,5.28
98,934900,Nsoko,ZA,-27.07,-27.07,1522959962,73.3,73,68,3.94
101,3843123,Neuquen,AR,-38.95,-38.95,1522959631,64.3,22,64,11.77
102,3427208,Pilar,AR,-34.46,-34.46,1522954800,84.16,40,40,8.05
108,1510689,Baykit,RU,61.68,61.68,1522959933,25.06,88,80,8.3
109,3526766,Isla Aguada,MX,18.78,18.78,1522957920,89.6,55,20,9.17
111,2295684,Salaga,GH,8.55,8.55,1522959764,81.85,82,8,3.27
112,5572979,Merrill,US,42.03,42.03,1522957980,51.8,53,90,16.11
117,3948642,Matara,PE,-13.74,-13.74,1522954800,57.2,54,40,2.37
118,3395458,Maragogi,BR,-9.01,-9.01,1522959735,79.96,85,92,9.19
120,2020738,Litovko,RU,49.24,49.24,1522959775,14.08,56,0,3.6
121,187725,Maralal,KE,1.1,1.1,1522959877,57.91,98,76,2.59
123,1790894,Wuxue,CN,29.85,29.85,1522959776,49.09,100,36,4.61
125,1267394,Kavali,IN,14.91,14.91,1522959905,73.93,93,0,6.73
128,1260120,Pathri,IN,19.26,19.26,1522959868,71.5,67,8,6.4
